S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
1383,ASG01383,Lekha,Muni,Lekha Muni,Female,Married,34,1991-09-29,2016-07-31,2024-11-25,Senior Data Analyst,Analytics,Chennai,Relieved,UG,Day,1498000
1384,ASG01384,Ira,Gulati,Ira Gulati,Female,Married,32,1994-01-07,2016-07-31,,Accounts Executive,Finance,Mumbai,Active,PG,Day,1075000
1385,ASG01385,Tristan,Rao,Tristan Rao,Male,Married,33,1993-07-14,2016-07-31,2025-08-08,HR Analyst,HR,Chennai,Relieved,PG,Day,1098000
1386,ASG01386,Abhiram,Balay,Abhiram Balay,Male,Married,50,1975-11-06,2016-08-01,2018-12-09,Sales Manager,Sales,Hyderabad,Relieved,PG,Day,3205000
1387,ASG01387,Chakradev,Edwin,Chakradev Edwin,Male,Single,36,1990-05-09,2016-08-02,,HR Analyst,HR,Hyderabad,Active,UG,Day,1231000
1388,ASG01388,Chakrika,Goswami,Chakrika Goswami,Female,Single,45,1981-06-11,2016-08-02,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,2321000
1389,ASG01389,Arya,Raghavan,Arya Raghavan,Female,Single,40,1985-12-12,2016-08-02,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1914000
1390,ASG01390,Sanaya,Sangha,Sanaya Sangha,Female,Single,36,1990-07-29,2016-08-02,,Senior Sales Executive,Sales,Chennai,Active,UG,Day,1644000
1391,ASG01391,Deepa,Din,Deepa Din,Female,Single,32,1994-05-19,2016-08-03,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Mid,1394000
1392,ASG01392,Aashi,Nanda,Aashi Nanda,Female,Married,31,1995-02-25,2016-08-03,,HR Analyst,HR,Mumbai,Active,PG,Day,986000
1393,ASG01393,Oliver,Kaur,Oliver Kaur,Male,Married,44,1981-09-26,2016-08-04,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Day,2204000
1394,ASG01394,Faqid,Deep,Faqid Deep,Male,Married,48,1978-08-25,2016-08-04,,HR Manager,HR,Kolkata,Active,UG,Mid,3024000
1395,ASG01395,Oni,Bail,Oni Bail,Female,Married,36,1990-03-07,2016-08-04,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1646000
1396,ASG01396,Yatin,Batta,Yatin Batta,Male,Married,38,1988-06-28,2016-08-05,,Sr Accountant,Finance,Mumbai,Active,PG,Day,1774000
1397,ASG01397,Chaitanya,Krishnamurthy,Chaitanya Krishnamurthy,Male,Married,33,1992-10-01,2016-08-05,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1098000
1398,ASG01398,Tara,Patla,Tara Patla,Female,Married,46,1980-05-02,2016-08-05,,Analytics Manager,Analytics,Kolkata,Active,UG,Day,2829000
1399,ASG01399,Udant,Sahni,Udant Sahni,Male,Married,43,1983-01-15,2016-08-07,,Senior Sales Executive,Sales,Hyderabad,Active,UG,Mid,2135000
1400,ASG01400,Bhavika,Dave,Bhavika Dave,Female,Married,39,1987-09-11,2016-08-07,,Sr Accountant,Finance,Chennai,Active,PG,Day,1927000
1401,ASG01401,Simon,Pant,Simon Pant,Male,Married,31,1995-06-26,2016-08-07,,Sales Executive,Sales,Kolkata,Active,UG,Day,975000
1402,ASG01402,Ekani,Krishna,Ekani Krishna,Female,Married,48,1978-04-04,2016-08-08,,Analytics Manager,Analytics,Kolkata,Active,PG,Night,3040000
1403,ASG01403,Chaitanya,Jain,Chaitanya Jain,Male,Single,31,1995-02-27,2016-08-08,2020-08-24,Accounts Trainee,Finance,Chennai,Relieved,UG,Day,704000
1404,ASG01404,Chandresh,Dara,Chandresh Dara,Male,Single,36,1990-01-21,2016-08-08,2021-10-06,BI Developer,Analytics,Chennai,Relieved,PG,Day,1252000
1405,ASG01405,Krishna,Rajagopal,Krishna Rajagopal,Male,Married,38,1987-11-12,2016-08-09,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Mid,1776000
1406,ASG01406,Harini,Basu,Harini Basu,Female,Married,39,1987-01-24,2016-08-10,2021-03-05,Senior Payroll Analyst,Payroll,Mumbai,Relieved,UG,Day,1891000
1407,ASG01407,Ishita,Ganguly,Ishita Ganguly,Female,Single,38,1987-11-29,2016-08-10,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Day,1858000
1408,ASG01408,Pahal,Toor,Pahal Toor,Female,Single,31,1994-09-22,2016-08-11,,HR Executive,HR,Kolkata,Active,PG,Day,709000
1409,ASG01409,Krisha,Deshpande,Krisha Deshpande,Female,Single,45,1980-11-12,2016-08-11,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,2339000
1410,ASG01410,Vyanjana,Chaudhari,Vyanjana Chaudhari,Female,Single,34,1992-01-07,2016-08-11,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1578000
1411,ASG01411,Raghav,Guha,Raghav Guha,Male,Single,32,1993-12-01,2016-08-11,,Sr Accountant,Finance,Kolkata,Active,PG,Mid,1360000
1412,ASG01412,Ishani,Dewan,Ishani Dewan,Female,Married,44,1982-08-12,2016-08-11,,Senior Sales Executive,Sales,Mumbai,Active,UG,Day,2198000
1413,ASG01413,Omya,Chopra,Omya Chopra,Female,Single,38,1987-12-04,2016-08-11,,Sr Accountant,Finance,Bangalore,Active,PG,Mid,1811000
1414,ASG01414,Anirudh,Batta,Anirudh Batta,Male,Single,33,1993-02-20,2016-08-12,,Sales Executive,Sales,Kolkata,Active,UG,Mid,1085000
1415,ASG01415,Frado,Menon,Frado Menon,Male,Single,44,1981-12-05,2016-08-13,,Sr Accountant,Finance,Mumbai,Active,UG,Night,2192000
1416,ASG01416,George,Mane,George Mane,Male,Single,41,1985-09-04,2016-08-13,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Day,2061000
1417,ASG01417,Nidhi,Dutta,Nidhi Dutta,Female,Married,34,1991-10-26,2016-08-14,2025-04-28,HR Analyst,HR,Mumbai,Relieved,UG,Mid,1127000
1418,ASG01418,Darsh,Mall,Darsh Mall,Male,Single,44,1981-09-29,2016-08-15,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Day,2208000
1419,ASG01419,Krishna,Dara,Krishna Dara,Female,Single,42,1984-03-11,2016-08-15,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Mid,2126000
1420,ASG01420,Ishwar,Nadig,Ishwar Nadig,Male,Single,42,1984-06-12,2016-08-16,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Night,2105000
1421,ASG01421,Vrishti,Sodhi,Vrishti Sodhi,Female,Single,45,1981-08-04,2016-08-17,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,2259000
1422,ASG01422,Faraj,Chawla,Faraj Chawla,Male,Single,32,1993-10-01,2016-08-17,,HR Analyst,HR,Hyderabad,Active,PG,Mid,1033000
1423,ASG01423,Abhimanyu,Kohli,Abhimanyu Kohli,Male,Single,31,1995-04-17,2016-08-18,,HR Analyst,HR,Hyderabad,Active,UG,Day,1005000
1424,ASG01424,Osha,Seshadri,Osha Seshadri,Female,Married,34,1992-02-08,2016-08-18,,HR Analyst,HR,Mumbai,Active,PG,Day,1146000
1425,ASG01425,Rushil,Dara,Rushil Dara,Male,Single,44,1982-09-09,2016-08-18,,Senior Data Analyst,Analytics,Chennai,Active,UG,Night,2228000
1426,ASG01426,Nicholas,Hari,Nicholas Hari,Male,Married,31,1995-07-19,2016-08-19,,HR Executive,HR,Bangalore,Active,UG,Mid,698000
1427,ASG01427,Avi,Nori,Avi Nori,Male,Single,35,1990-11-30,2016-08-19,,BI Developer,Analytics,Bangalore,Active,PG,Day,1183000
1428,ASG01428,Radhika,Dhar,Radhika Dhar,Female,Married,36,1990-09-06,2016-08-19,,Accounts Executive,Finance,Hyderabad,Active,PG,Mid,1226000
1429,ASG01429,Dhriti,Chaudry,Dhriti Chaudry,Female,Married,31,1995-04-07,2016-08-19,,Sales Executive,Sales,Hyderabad,Active,PG,Night,979000
1430,ASG01430,Chakrika,Chowdhury,Chakrika Chowdhury,Female,Married,42,1983-10-04,2016-08-19,,Senior Sales Executive,Sales,Mumbai,Active,UG,Day,2130000
1431,ASG01431,Samesh,Upadhyay,Samesh Upadhyay,Male,Married,32,1994-03-08,2016-08-20,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,1380000
1432,ASG01432,Widisha,Dey,Widisha Dey,Female,Single,41,1985-08-15,2016-08-20,,Regional Sales Lead,Sales,Bangalore,Active,PG,Mid,1984000
1433,ASG01433,Omisha,Lall,Omisha Lall,Female,Single,39,1987-07-26,2016-08-21,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Night,1850000
1434,ASG01434,Anay,Chhabra,Anay Chhabra,Male,Single,38,1988-01-10,2016-08-21,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Night,1778000
1435,ASG01435,Naveen,Rout,Naveen Rout,Male,Married,35,1990-11-17,2016-08-22,,Accounts Executive,Finance,Mumbai,Active,UG,Mid,1191000
1436,ASG01436,Vihaan,Goswami,Vihaan Goswami,Male,Married,51,1975-01-01,2016-08-22,,Analytics Manager,Analytics,Chennai,Active,PG,Day,3213000
1437,ASG01437,Damyanti,Sampath,Damyanti Sampath,Female,Married,31,1995-09-08,2016-08-22,2022-03-10,Payroll Executive,Payroll,Hyderabad,Relieved,PG,Day,698000
1438,ASG01438,Christopher,Bora,Christopher Bora,Male,Married,31,1994-09-26,2016-08-22,,HR Executive,HR,Chennai,Active,PG,Night,711000
1439,ASG01439,George,Chaudhuri,George Chaudhuri,Male,Married,31,1994-11-15,2016-08-23,,Accounts Trainee,Finance,Kolkata,Active,UG,Mid,691000
1440,ASG01440,Dalbir,Ramesh,Dalbir Ramesh,Male,Single,45,1980-12-28,2016-08-24,,Sr Accountant,Finance,Chennai,Active,PG,Night,2255000
1441,ASG01441,Kevin,Mander,Kevin Mander,Male,Married,34,1992-06-15,2016-08-24,,Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1182000
1442,ASG01442,Parth,Pall,Parth Pall,Male,Single,35,1991-03-18,2016-08-24,,Accounts Executive,Finance,Mumbai,Active,PG,Night,1170000
1443,ASG01443,Joshua,Bir,Joshua Bir,Male,Married,33,1993-07-19,2016-08-24,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Mid,1440000
1444,ASG01444,Noah,Suresh,Noah Suresh,Male,Married,41,1985-04-07,2016-08-24,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2001000
1445,ASG01445,Avi,Verma,Avi Verma,Male,Married,41,1985-05-19,2016-08-25,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Mid,2038000
1446,ASG01446,Ijaya,Mahal,Ijaya Mahal,Female,Single,31,1994-11-08,2016-08-27,,Payroll Executive,Payroll,Bangalore,Active,UG,Night,688000
1447,ASG01447,Akshay,Wason,Akshay Wason,Male,Single,51,1974-11-13,2016-08-27,,Analytics Manager,Analytics,Kolkata,Active,UG,Day,3304000
1448,ASG01448,Imaran,Mittal,Imaran Mittal,Male,Single,36,1990-01-01,2016-08-28,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1672000
1449,ASG01449,Imaran,Morar,Imaran Morar,Male,Married,34,1992-02-07,2016-08-28,2017-04-22,Regional Sales Lead,Sales,Kolkata,Relieved,UG,Mid,1575000
1450,ASG01450,Bhavika,Chaudry,Bhavika Chaudry,Female,Married,44,1982-02-14,2016-08-30,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,2201000
1451,ASG01451,Aadhya,Suresh,Aadhya Suresh,Female,Married,47,1979-07-28,2016-08-31,2018-01-28,HR Manager,HR,Hyderabad,Relieved,PG,Day,2966000
1452,ASG01452,Advik,Bir,Advik Bir,Male,Single,43,1983-06-04,2016-08-31,,Senior Sales Executive,Sales,Hyderabad,Active,PG,Day,2138000
1453,ASG01453,Karan,Srinivas,Karan Srinivas,Male,Married,34,1992-06-22,2016-09-01,,Accounts Executive,Finance,Mumbai,Active,PG,Day,1158000
1454,ASG01454,Karan,Datta,Karan Datta,Male,Married,42,1983-11-25,2016-09-01,,Senior Sales Executive,Sales,Bangalore,Active,UG,Day,2056000
1455,ASG01455,Anay,Master,Anay Master,Male,Married,33,1993-03-15,2016-09-01,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Night,1430000
1456,ASG01456,Alexander,Mander,Alexander Mander,Male,Married,48,1978-05-17,2016-09-02,,Payroll Manager,Payroll,Hyderabad,Active,UG,Mid,3004000
1457,ASG01457,Azad,Viswanathan,Azad Viswanathan,Male,Married,56,1970-07-20,2016-09-02,,Finance Manager,Finance,Mumbai,Active,UG,Mid,3608000
1458,ASG01458,Advay,Padmanabhan,Advay Padmanabhan,Male,Single,31,1995-08-19,2016-09-02,,HR Executive,HR,Chennai,Active,PG,Mid,701000
1459,ASG01459,Kamala,Nigam,Kamala Nigam,Female,Single,42,1984-04-23,2016-09-02,2023-01-08,Senior Sales Executive,Sales,Hyderabad,Relieved,UG,Day,2110000
1460,ASG01460,Anamika,Bhattacharyya,Anamika Bhattacharyya,Female,Single,45,1981-06-16,2016-09-03,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,2339000
1461,ASG01461,Charles,Ramachandran,Charles Ramachandran,Male,Single,50,1976-03-07,2016-09-03,,Analytics Manager,Analytics,Bangalore,Active,PG,Mid,3216000
1462,ASG01462,Nisha,Dhawan,Nisha Dhawan,Female,Single,44,1982-08-05,2016-09-03,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Day,2244000
1463,ASG01463,Ayushman,Barman,Ayushman Barman,Male,Married,37,1988-12-29,2016-09-03,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1716000
1464,ASG01464,Krishna,Menon,Krishna Menon,Female,Single,48,1978-04-29,2016-09-03,2026-03-02,Sales Manager,Sales,Bangalore,Relieved,PG,Day,3021000
1465,ASG01465,Sudiksha,Vyas,Sudiksha Vyas,Female,Single,42,1984-06-09,2016-09-05,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Night,2118000
1466,ASG01466,Laksh,Dubey,Laksh Dubey,Male,Single,37,1989-03-02,2016-09-06,,Senior Sales Executive,Sales,Chennai,Active,UG,Day,1730000
1467,ASG01467,Aarav,Jaggi,Aarav Jaggi,Male,Single,47,1978-11-29,2016-09-06,,HR Manager,HR,Mumbai,Active,UG,Night,3003000
1468,ASG01468,Nimrat,Bali,Nimrat Bali,Female,Single,52,1974-08-11,2016-09-06,2018-07-17,Analytics Manager,Analytics,Mumbai,Relieved,PG,Mid,3320000
1469,ASG01469,Veda,Raja,Veda Raja,Female,Married,35,1991-02-26,2016-09-06,,HR Analyst,HR,Kolkata,Active,PG,Mid,1168000
1470,ASG01470,Mekhala,Chaudhary,Mekhala Chaudhary,Female,Married,33,1993-04-18,2016-09-08,,BI Developer,Analytics,Bangalore,Active,PG,Mid,1091000
1471,ASG01471,Rajata,Date,Rajata Date,Female,Married,36,1990-01-23,2016-09-08,,Regional Sales Lead,Sales,Mumbai,Active,UG,Day,1638000
1472,ASG01472,Mason,Som,Mason Som,Male,Married,31,1994-12-10,2016-09-08,,HR Analyst,HR,Bangalore,Active,UG,Day,1025000
1473,ASG01473,Vasana,Bajaj,Vasana Bajaj,Female,Married,45,1980-12-08,2016-09-08,,HR Manager,HR,Hyderabad,Active,PG,Day,2815000
1474,ASG01474,Oliver,Kashyap,Oliver Kashyap,Male,Married,45,1981-04-03,2016-09-09,,Sales Manager,Sales,Hyderabad,Active,PG,Day,2806000
1475,ASG01475,Kala,Rajagopal,Kala Rajagopal,Female,Single,39,1987-04-19,2016-09-09,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Day,1882000
1476,ASG01476,Omya,Radhakrishnan,Omya Radhakrishnan,Female,Single,44,1982-04-29,2016-09-09,,Regional Sales Lead,Sales,Mumbai,Active,PG,Day,2259000
1477,ASG01477,Eta,Bhat,Eta Bhat,Female,Single,37,1989-08-31,2016-09-10,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Mid,1768000
1478,ASG01478,Bhanumati,Choudhury,Bhanumati Choudhury,Female,Married,38,1988-02-21,2016-09-10,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,1810000
1479,ASG01479,Chanakya,Bahri,Chanakya Bahri,Male,Married,35,1991-07-15,2016-09-11,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1628000
1480,ASG01480,Vaishnavi,Naik,Vaishnavi Naik,Female,Married,38,1987-11-02,2016-09-12,2023-02-04,Accounts Executive,Finance,Mumbai,Relieved,UG,Day,1372000
1481,ASG01481,Isaiah,Bassi,Isaiah Bassi,Male,Married,45,1980-11-04,2016-09-12,2021-03-15,Sr Accountant,Finance,Bangalore,Relieved,PG,Night,2290000
1482,ASG01482,Yahvi,Arora,Yahvi Arora,Female,Married,37,1989-06-03,2016-09-12,,Sales Executive,Sales,Chennai,Active,UG,Night,1309000
1483,ASG01483,Abha,Comar,Abha Comar,Female,Single,32,1993-10-18,2016-09-12,,Accounts Executive,Finance,Chennai,Active,PG,Mid,1022000
1484,ASG01484,Pooja,Kale,Pooja Kale,Female,Married,58,1968-05-03,2016-09-12,,Sales Manager,Sales,Mumbai,Active,UG,Day,3800000
1485,ASG01485,Yadavi,Chaudhari,Yadavi Chaudhari,Female,Single,41,1985-04-07,2016-09-13,,Senior Data Analyst,Analytics,Kolkata,Active,UG,Mid,2060000
1486,ASG01486,Abeer,Char,Abeer Char,Male,Married,45,1981-02-25,2016-09-13,,Regional Sales Lead,Sales,Hyderabad,Active,PG,Day,2308000
1487,ASG01487,Varsha,Deol,Varsha Deol,Female,Married,35,1991-07-05,2016-09-13,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1601000
1488,ASG01488,Wakeeta,Dasgupta,Wakeeta Dasgupta,Female,Married,35,1991-05-28,2016-09-14,,Accounts Executive,Finance,Bangalore,Active,PG,Mid,1185000
1489,ASG01489,Vinaya,Ganguly,Vinaya Ganguly,Female,Married,57,1969-07-26,2016-09-14,,HR Manager,HR,Bangalore,Active,PG,Day,3756000
1490,ASG01490,Ekaja,Mittal,Ekaja Mittal,Female,Single,37,1989-07-03,2016-09-15,2021-02-03,HR Analyst,HR,Mumbai,Relieved,PG,Mid,1298000
1491,ASG01491,Odika,Mander,Odika Mander,Female,Married,33,1992-10-07,2016-09-15,,HR Analyst,HR,Hyderabad,Active,PG,Night,1114000
1492,ASG01492,Ayaan,Mall,Ayaan Mall,Male,Married,36,1990-07-17,2016-09-15,,Senior Data Analyst,Analytics,Bangalore,Active,UG,Mid,1679000
1493,ASG01493,Rachit,Dhaliwal,Rachit Dhaliwal,Male,Married,32,1993-10-11,2016-09-15,,Sr Accountant,Finance,Bangalore,Active,UG,Mid,1368000
1494,ASG01494,Krisha,Chakrabarti,Krisha Chakrabarti,Female,Single,34,1992-07-14,2016-09-16,2026-01-01,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,PG,Night,1531000
1495,ASG01495,Girindra,Chand,Girindra Chand,Male,Married,39,1987-07-01,2016-09-16,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1857000
1496,ASG01496,Guneet,Balasubramanian,Guneet Balasubramanian,Male,Single,32,1994-06-17,2016-09-16,2025-03-31,Senior Payroll Analyst,Payroll,Mumbai,Relieved,PG,Day,1388000
1497,ASG01497,Aahana,Dubey,Aahana Dubey,Female,Married,40,1986-01-24,2016-09-16,2025-06-23,Sr Accountant,Finance,Kolkata,Relieved,UG,Night,1953000
1498,ASG01498,Tanay,Loyal,Tanay Loyal,Male,Married,36,1990-03-28,2016-09-17,2026-08-27,HR Analyst,HR,Chennai,Relieved,UG,Day,1277000
1499,ASG01499,Lipika,Barad,Lipika Barad,Female,Married,34,1991-12-18,2016-09-18,,Senior Data Analyst,Analytics,Kolkata,Active,UG,Day,1566000
1500,ASG01500,Dalbir,Virk,Dalbir Virk,Male,Single,36,1989-11-11,2016-09-19,,BI Developer,Analytics,Mumbai,Active,UG,Night,1277000
1501,ASG01501,Udyati,Narayan,Udyati Narayan,Female,Married,36,1989-09-28,2016-09-19,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1665000
1502,ASG01502,Harshil,Ramesh,Harshil Ramesh,Male,Married,39,1986-11-02,2016-09-19,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Day,1859000
1503,ASG01503,Anita,Rai,Anita Rai,Female,Single,43,1982-09-27,2016-09-21,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Mid,2168000
1504,ASG01504,Ronith,Dalal,Ronith Dalal,Male,Married,31,1994-10-09,2016-09-21,2019-07-26,Accounts Executive,Finance,Mumbai,Relieved,UG,Night,995000
1505,ASG01505,Hredhaan,Goda,Hredhaan Goda,Male,Married,31,1995-04-05,2016-09-21,,Payroll Analyst,Payroll,Chennai,Active,PG,Mid,1003000
1506,ASG01506,Kiaan,Raghavan,Kiaan Raghavan,Male,Married,40,1986-07-10,2016-09-22,2018-09-07,Senior Payroll Analyst,Payroll,Mumbai,Relieved,PG,Day,1930000
1507,ASG01507,Rachana,Saha,Rachana Saha,Female,Single,33,1993-08-25,2016-09-22,,Accounts Executive,Finance,Bangalore,Active,PG,Day,1089000
1508,ASG01508,Widisha,Parsa,Widisha Parsa,Female,Single,36,1990-07-20,2016-09-23,,Sales Executive,Sales,Mumbai,Active,PG,Day,1256000
1509,ASG01509,Chandran,Sharaf,Chandran Sharaf,Male,Married,34,1992-03-24,2016-09-25,2021-07-13,Senior Data Analyst,Analytics,Kolkata,Relieved,PG,Mid,1556000
1510,ASG01510,Mahika,Sampath,Mahika Sampath,Female,Married,39,1987-07-06,2016-09-25,,Sr Accountant,Finance,Mumbai,Active,PG,Day,1922000
1511,ASG01511,Manan,Kohli,Manan Kohli,Male,Married,45,1980-12-29,2016-09-27,,Finance Manager,Finance,Hyderabad,Active,UG,Day,2821000
1512,ASG01512,Devansh,Choudhry,Devansh Choudhry,Male,Married,53,1973-08-29,2016-09-27,,Analytics Manager,Analytics,Kolkata,Active,UG,Day,3372000
1513,ASG01513,Anusha,Tara,Anusha Tara,Female,Single,44,1982-08-22,2016-09-27,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,2186000
1514,ASG01514,Vivaan,Dave,Vivaan Dave,Male,Married,34,1992-03-31,2016-09-27,,Accounts Executive,Finance,Bangalore,Active,PG,Night,1169000
1515,ASG01515,Nathaniel,Sundaram,Nathaniel Sundaram,Male,Married,31,1994-10-07,2016-09-27,2022-12-17,HR Analyst,HR,Chennai,Relieved,UG,Mid,984000
1516,ASG01516,Neel,Pau,Neel Pau,Male,Single,52,1973-10-19,2016-09-27,,Finance Manager,Finance,Chennai,Active,UG,Night,3306000
1517,ASG01517,Aradhana,Bhardwaj,Aradhana Bhardwaj,Female,Single,30,1995-11-13,2016-09-27,,Payroll Executive,Payroll,Chennai,Active,UG,Mid,688000
1518,ASG01518,Amol,Kota,Amol Kota,Male,Married,31,1995-05-19,2016-09-28,2020-02-20,HR Analyst,HR,Mumbai,Relieved,PG,Day,1007000
1519,ASG01519,Anjali,Kala,Anjali Kala,Female,Single,30,1996-09-09,2016-09-28,,HR Analyst,HR,Chennai,Active,UG,Mid,956000
1520,ASG01520,Maanav,Pillay,Maanav Pillay,Male,Married,43,1983-07-31,2016-09-28,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Day,2137000
1521,ASG01521,Madhavi,Kanda,Madhavi Kanda,Female,Married,40,1985-10-02,2016-09-29,,Regional Sales Lead,Sales,Bangalore,Active,PG,Mid,1921000
1522,ASG01522,Omya,Dora,Omya Dora,Female,Married,32,1993-11-27,2016-09-30,,Sales Executive,Sales,Bangalore,Active,UG,Day,1026000
1523,ASG01523,Udant,Oza,Udant Oza,Male,Married,43,1983-02-13,2016-09-30,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,2160000
1524,ASG01524,Ansh,Swaminathan,Ansh Swaminathan,Male,Married,41,1985-06-20,2016-09-30,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1985000
1525,ASG01525,Vinaya,Saxena,Vinaya Saxena,Female,Single,39,1987-08-27,2016-10-01,,Sr Accountant,Finance,Mumbai,Active,PG,Day,1905000
1526,ASG01526,Guneet,Madan,Guneet Madan,Male,Married,40,1986-01-14,2016-10-01,2018-04-21,Regional Sales Lead,Sales,Mumbai,Relieved,PG,Night,1977000
1527,ASG01527,Laksh,Badal,Laksh Badal,Male,Married,42,1984-04-10,2016-10-01,,Regional Sales Lead,Sales,Mumbai,Active,UG,Night,2061000
1528,ASG01528,Pranit,Das,Pranit Das,Male,Married,34,1992-06-08,2016-10-02,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,1523000
1529,ASG01529,Neha,Kale,Neha Kale,Female,Married,47,1978-12-07,2016-10-03,,Analytics Manager,Analytics,Kolkata,Active,PG,Day,3000000
1530,ASG01530,Charan,Oak,Charan Oak,Male,Married,36,1989-09-30,2016-10-03,,HR Analyst,HR,Mumbai,Active,UG,Day,1221000
1531,ASG01531,Tamanna,Magar,Tamanna Magar,Female,Single,47,1979-03-22,2016-10-03,2024-07-08,HR Manager,HR,Bangalore,Relieved,PG,Day,2913000
1532,ASG01532,Bishakha,Banik,Bishakha Banik,Female,Single,37,1989-05-24,2016-10-05,,Accounts Executive,Finance,Hyderabad,Active,UG,Night,1317000
1533,ASG01533,Girindra,Magar,Girindra Magar,Male,Married,37,1989-06-23,2016-10-05,,Senior Payroll Analyst,Payroll,Hyderabad,Active,PG,Night,1738000
1534,ASG01534,Anita,Sinha,Anita Sinha,Female,Married,30,1996-05-22,2016-10-06,,HR Analyst,HR,Mumbai,Active,UG,Night,942000
1535,ASG01535,Oviya,Chaudhry,Oviya Chaudhry,Female,Married,40,1986-05-18,2016-10-06,,Senior Sales Executive,Sales,Mumbai,Active,UG,Day,1914000
1536,ASG01536,Fitan,Dua,Fitan Dua,Male,Single,30,1996-02-27,2016-10-06,,HR Executive,HR,Kolkata,Active,UG,Mid,701000
1537,ASG01537,Agastya,Wable,Agastya Wable,Male,Married,36,1990-08-04,2016-10-07,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Day,1694000
1538,ASG01538,Onkar,Sankar,Onkar Sankar,Male,Single,35,1991-06-12,2016-10-07,2018-02-18,Data Analyst,Analytics,Mumbai,Relieved,PG,Day,1200000
1539,ASG01539,Bhavani,Khalsa,Bhavani Khalsa,Female,Married,58,1967-09-22,2016-10-07,,Payroll Manager,Payroll,Hyderabad,Active,PG,Mid,3800000
1540,ASG01540,Ranbir,Khanna,Ranbir Khanna,Male,Single,30,1995-11-24,2016-10-07,,BI Developer,Analytics,Mumbai,Active,PG,Day,943000
1541,ASG01541,Maanas,Pillai,Maanas Pillai,Male,Married,30,1995-09-22,2016-10-07,,Accounts Trainee,Finance,Mumbai,Active,UG,Day,705000
1542,ASG01542,Maanav,Sankar,Maanav Sankar,Male,Single,31,1995-02-28,2016-10-08,2024-03-19,HR Analyst,HR,Chennai,Relieved,PG,Day,1021000
1543,ASG01543,Faqid,Sabharwal,Faqid Sabharwal,Male,Single,45,1981-01-10,2016-10-09,,HR Manager,HR,Mumbai,Active,UG,Night,2845000
1544,ASG01544,Yamini,Nayar,Yamini Nayar,Female,Single,38,1987-11-08,2016-10-09,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,1781000
1545,ASG01545,Veer,Datta,Veer Datta,Male,Single,51,1974-11-19,2016-10-09,,Sales Manager,Sales,Kolkata,Active,PG,Day,3220000
1546,ASG01546,Dayamai,Joshi,Dayamai Joshi,Female,Single,38,1987-11-27,2016-10-09,2022-03-23,Sr Accountant,Finance,Hyderabad,Relieved,PG,Mid,1844000
